Title,Link,Content,Sentiment Score,Image Link,Publication Year,Keywords,Entities,Section
The Secret History of Gun Rights: How Lawmakers Armed the N.R.A.,https://www.nytimes.com/2023/07/30/us/politics/nra-congress-firearms.html,"Long before the National Rifle Association tightened its grip on Congress, won over the Supreme Court and prescribed more guns as a solution to gun violence — before all that, Representative John D. Dingell Jr. had a plan.

First jotted on a yellow legal pad in 1975, it would transform the N.R.A. from a fusty club of sportsmen into a lobbying juggernaut that would enforce elected officials’ allegiance, derail legislation behind the scenes, redefine the legal landscape and deploy “all available resources at every level to influence the decision making process.”

“An organization with as many members, and as many potential resources, both financial and influential within its ranks, should not have to go 2d or 3d Class in a fight for survival,” Mr. Dingell wrote, advocating a new aggressive strategy. “It should go First Class.”

To understand the ascendancy of gun culture in America, the files of Mr. Dingell, a powerful Michigan Democrat who died in 2019, are a good place to start. That is because he was not just a politician — he simultaneously sat on the N.R.A.’s board of directors, positioning him to influence firearms policy as well as the private lobbying force responsible for shaping it.",0.2047979797979798,https://static01.nyt.com/images/2023/07/30/multimedia/00nra-files-cgbv/00nra-files-cgbv-facebookJumbo.jpg,2023,"['rifle', 'congress', 'supreme court', 'gun violence —', 'john d. dingell jr.', 'n.r.a', 'fusty club', 'officials ’ allegiance', 'derail legislation', 'legal landscape', 'deploy “', 'available resources', 'decision making process. ” “', 'potential resources', '3d class', 'mr. dingell', 'new aggressive strategy', 'class.', 'gun culture', 'america', 'mr. dingell', 'michigan democrat', 'good place', 'politician —', 'n.r.a.', '’ s board', 'firearms policy']","[('the National Rifle Association', 'ORG'), ('Congress', 'ORG'), ('the Supreme Court', 'ORG'), ('John D. Dingell Jr.', 'PERSON'), ('First', 'ORDINAL'), ('1975', 'DATE'), ('N.R.A.', 'ORG'), ('2d', 'CARDINAL'), ('3d', 'CARDINAL'), ('Dingell', 'PERSON'), ('First', 'ORDINAL'), ('America', 'GPE'), ('Dingell', 'PERSON'), ('Michigan', 'GPE'), ('Democrat', 'NORP'), ('2019', 'DATE'), ('N.R.A.', 'ORG')]",Politics
The Legacy Dilemma: What to Do About Privileges for the Privileged?,https://www.nytimes.com/2023/07/30/us/politics/legacy-admissions-college-alumni.html,"Like Ms. James-Chakraborty, students and alumni of many colleges and universities — not just ultra-elite ones — are now wrestling with the practice of legacy admissions, a debate with far broader implications after the Supreme Court last month gutted race-based admissions programs and forced colleges to reconsider their criteria for accepting students.

It has sparked some bracing introspection and complicated feelings.

About the role familial connections played in the success of many alumni. About whether the practice of legacy admissions, which has long favored white families, should be eliminated just as a more diverse generation of graduates is getting ready to send its own children to college. About how to reconcile the belief that privileges for the privileged are wrong with the parental impulse to do whatever they can for their own children.

With the end of race-based affirmative action, the practice of giving admissions preference to relatives of alumni is particularly under fire at the most elite institutions, given the outsized presence of their alumni in the nation’s highest echelons of power. A new analysis of data from elite colleges published last week underscored how legacy admissions have effectively served as affirmative action for the privileged. Children of alumni, who are more likely to come from rich families, were nearly four times as likely to be admitted as other applicants with the same test scores.",0.2065493646138807,https://static01.nyt.com/images/2023/07/30/multimedia/30nat-legacies-03-bjpw/30nat-legacies-03-bjpw-facebookJumbo.jpg,2023,"['ms. james-chakraborty', 'universities —', 'ultra-elite ones —', 'legacy admissions', 'broader implications', 'supreme court', 'admissions programs', 'role familial connections', 'legacy admissions', 'white families', 'diverse generation', 'own children', 'parental impulse', 'own children', 'affirmative action', 'admissions preference', 'elite institutions', 'nation ’ s', 'new analysis', 'elite colleges', 'legacy admissions', 'affirmative action', 'rich families', 'test scores']","[('James-Chakraborty', 'PERSON'), ('the Supreme Court', 'ORG'), ('last month', 'DATE'), ('last week', 'DATE'), ('nearly four', 'CARDINAL')]",Politics
A Left-Right Alliance Puts Iowa’s CO2 Pipelines on the Presidential Agenda,https://www.nytimes.com/2023/07/30/us/politics/iowa-pipelines-trump.html,"The $4.5 billion Summit, $3 billion Navigator and $630 million Wolf Carbon pipelines may not be front and center next month at the first Republican presidential debate. They probably won’t be featured in super PAC advertising or mentioned during Fox News appearances. But the pipelines capture a national debate with local consequences, and they will give candidates a chance to showcase their understanding of Iowa, the first state to weigh in on the Republican nominating fight — if they can navigate the issue.

The Summit, Navigator and Wolf pipelines, fueled by federal tax credits embraced by both parties, would draw carbon dioxide from the factories that turn Iowa corn into ethanol. They would snake through 3,300 miles of farmland in Iowa and other Midwestern states, then pump the planet-warming gas into the bedrock beneath Illinois and North Dakota. And they are pitched as a climate protection measure, though some experts and environmentalists say it is only a partial solution at best.

Earlier this month, an Iowa woman seemed to stump the front-runner, former President Donald J. Trump, when she asked how he would “help us in Iowa save our farmland from the CO2 pipelines.”

Mr. Trump stammered that he was “working on that” and that he “had a plan to totally, uh, it’s such a ridiculous situation,” before reassuring the crowd, “if we win, that’s going to be taken care of.”",0.13166666666666668,https://static01.nyt.com/images/2023/07/26/us/politics/26pol-pipeline-new1/26pol-pipeline-new1-facebookJumbo.jpg,2023,"['summit', 'navigator', 'wolf carbon', 'republican', 'presidential debate', '’ t', 'pac', 'fox', 'news appearances', 'national debate', 'local consequences', 'iowa', 'republican', 'fight —', 'summit', 'navigator', 'wolf', 'federal tax credits', 'carbon dioxide', 'iowa', 'iowa', 'midwestern', 'illinois', 'dakota', 'climate protection measure', 'partial solution', 'iowa', 'donald j. trump', 'iowa', 'co2', 'pipelines. ”', 'mr. trump', '’ s', 'ridiculous situation', '’ s']","[('$4.5 billion', 'MONEY'), ('$3 billion', 'MONEY'), ('$630 million', 'MONEY'), ('Wolf Carbon', 'PERSON'), ('next month', 'DATE'), ('first', 'ORDINAL'), ('Republican', 'NORP'), ('Fox News', 'ORG'), ('Iowa', 'GPE'), ('first', 'ORDINAL'), ('Republican', 'NORP'), ('Navigator', 'ORG'), ('Wolf', 'PERSON'), ('Iowa', 'GPE'), ('3,300 miles', 'QUANTITY'), ('Iowa', 'GPE'), ('Midwestern', 'NORP'), ('Illinois', 'GPE'), ('North Dakota', 'GPE'), ('Earlier this month', 'DATE'), ('Iowa', 'GPE'), ('Donald J. Trump', 'PERSON'), ('Iowa', 'GPE'), ('Trump', 'PERSON')]",Politics
Nuts-and-Bolts Conservatism From Nikki Haley,https://www.nytimes.com/2023/07/30/us/politics/nikki-haley-stump-speech.html,"“Instead of 87,000 I.R.S. agents, we’ll put 25,000 Border Patrol and ICE agents on the ground, and we will let them do their job.”

The promise — and its reception — underscore the fixation of the Republican base with the nation’s Southwestern border. She also echoes misleading claims from Republican lawmakers that Democrats are seeking to hire an army of tax auditors under the Internal Revenue Service to scrutinize the financial filings of middle-class families. Like many of the other Republican candidates, Ms. Haley sides with Mr. Trump on border and immigration policy, pledging to build a wall, defund sanctuary cities and bring back a Trump-era program requiring asylum seekers to wait out their cases in Mexico. “Because guess what? Nobody wants to remain in Mexico,” she adds, sometimes garnering laughs.

“We will make sure that every member of Congress has to get their health care through the V.A. You watch how fast it gets fixed.”

Perhaps no other line in Ms. Haley’s stump speech draws a more passionate response from audiences than this one. She has pledged to tackle veteran homelessness and high suicide rates and to improve veterans’ access to health care. The issues are personal for Ms. Haley, whose husband, Michael, is a major in the South Carolina Army National Guard and served in Afghanistan in 2013. This summer, Ms. Haley joined other military spouses in seeing their partners off, as they deployed to Africa with the Army National Guard. The military tour is expected to last a year and for most of the G.O.P. primary race.

“Don’t you think it’s time we have term limits in Congress? We have to do it. We have to have term limits in Congress, and I think we need to have mental health competency tests for anyone over the age of 75.”

Ms. Haley, who has couched her campaign message in a call for “a new generation of leaders,” long sought to distinguish herself from competitors by taking an early stance on the issue of age limits among political leaders. Her shots are most directly aimed at President Biden, 80, whose age is cited as a top concern, as he seeks re-election. In an interview with Fox News, she suggested that Mr. Biden, would not live until the end of his second term if re-elected. On the stump, she often suggests that a vote for Mr. Biden is a vote for Vice President Kamala Harris.

“No more gender pronoun classes in the military. It is demoralizing to make them do that.”

Ms. Haley has faced blowback from Democrats, women’s rights groups and transgender rights activists for proposing that transgender girls playing in school sports is the “women’s issue of our time,” and for appearing to suggest that allowing “biological boys” in girls’ locker rooms was connected with the high rate of teenage girls who have considered suicide. She has since modified her statements so as not to link the two separate issues, but she has not dropped her focus on gender issues and implications that women are being erased. “Johns Hopkins recently came out and defined what a woman was,” she said in Hollis, referring to the research university. “Did you see it? A ‘nonman.’”",0.06956876456876457,https://static01.nyt.com/images/2023/07/30/multimedia/30pol-haley-fbvj/30pol-haley-fbvj-facebookJumbo.jpg,2023,"['i.r.s', '’ ll', 'border patrol', 'ice', 'job. ”', 'reception — underscore', 'republican', 'nation ’ s', 'southwestern border', 'republican', 'tax auditors', 'internal', 'revenue service', 'financial filings', 'middle-class families', 'republican', 'ms. haley', 'mr. trump', 'immigration policy', 'defund sanctuary cities', 'trump-era', 'asylum seekers', 'mexico', 'mexico', 'congress', 'health care', 'v.a', 'fixed. ”', 'ms. haley', '’ s stump speech draws', 'passionate response', 'veteran homelessness', 'high suicide rates', 'veterans ’ access', 'health care', 'ms. haley', 'michael', 'carolina', 'national guard', 'afghanistan', 'ms. haley', 'military spouses', 'africa', 'national guard', 'military tour', 'g.o.p', 'primary race', 'don', '’ t', '’ s time', 'term limits', 'congress', 'term limits', 'congress', 'mental health competency tests', '75. ”', 'ms. haley', 'campaign message', 'new generation', 'early stance', 'age limits', 'political leaders', 'biden', 'top concern', 'fox', 'mr. biden', 'mr. biden', 'vice president', 'kamala harris', 'gender pronoun classes', 'that. ”', 'ms. haley', 'women ’ s rights groups', 'transgender rights activists', 'transgender girls', 'school sports', '“ women ’ s issue', '“ biological boys ”', 'girls ’ locker rooms', 'high rate', 'teenage girls', 'separate issues', 'gender issues', 'hopkins', 'hollis', 'research university', '‘ nonman', '’ ”']","[('87,000', 'CARDINAL'), ('I.R.S.', 'GPE'), ('25,000', 'CARDINAL'), ('Republican', 'NORP'), ('Southwestern', 'NORP'), ('Republican', 'NORP'), ('Democrats', 'NORP'), ('the Internal Revenue Service', 'ORG'), ('Republican', 'NORP'), ('Haley', 'PERSON'), ('Trump', 'PERSON'), ('Trump', 'ORG'), ('Mexico', 'GPE'), ('Mexico', 'GPE'), ('Congress', 'ORG'), ('Haley', 'PERSON'), ('Haley', 'PERSON'), ('Michael', 'PERSON'), ('the South Carolina Army National Guard', 'ORG'), ('Afghanistan', 'GPE'), ('2013', 'DATE'), ('This summer', 'DATE'), ('Haley', 'PERSON'), ('Africa', 'LOC'), ('the Army National Guard', 'ORG'), ('last a year', 'DATE'), ('G.O.P.', 'ORG'), ('Congress', 'ORG'), ('Congress', 'ORG'), ('the age of 75', 'DATE'), ('Haley', 'PERSON'), ('Biden', 'PERSON'), ('80', 'DATE'), ('Fox News', 'ORG'), ('Biden', 'PERSON'), ('second', 'ORDINAL'), ('Biden', 'PERSON'), ('Kamala Harris', 'PERSON'), ('Haley', 'PERSON'), ('Democrats', 'NORP'), ('two', 'CARDINAL'), ('Johns Hopkins', 'ORG'), ('Hollis', 'GPE')]",Politics
Trump Team Creates Legal-Defense Fund to Cover His Allies’ Bills,https://www.nytimes.com/2023/07/30/us/politics/trump-legal-defense-fund.html,"Former President Donald J. Trump’s team is creating a legal-defense fund to handle some of the crush of legal bills stemming from the investigations and criminal indictments involving him and a number of employees and associates, according to two people with knowledge of the matter.

The fund, which is expected to be called the Patriot Legal Defense Fund Inc., will be led by Michael Glassner, a longtime Trump political adviser, according to the people familiar with the planning, who were not authorized to discuss it publicly. Another Trump aide who worked at the Trump Organization and then in Mr. Trump’s administration, Lynne Patton, will also be involved, the people said.

It is unclear how broad a group of people the legal-defense fund will cover, but one person said it was not expected to cover Mr. Trump’s own legal bills. In recent months Mr. Trump’s political action committee has paid legal bills for him and several witnesses, spending over $40 million on lawyers in the first half of 2023.

But a wide swath of people have become entangled in the various Trump-related criminal investigations, both as witnesses — of which there are many who work for Mr. Trump personally or did in the White House — as well as defendants.",0.06283333333333334,https://static01.nyt.com/images/2023/07/30/multimedia/30pol-legalfund-tcfj/30pol-legalfund-tcfj-facebookJumbo.jpg,2023,"['donald j. trump', '’ s team', 'legal-defense fund', 'legal bills', 'criminal indictments', 'patriot legal', 'defense fund', 'michael glassner', 'trump', 'political adviser', 'trump', 'trump', 'mr. trump', '’ s administration', 'lynne patton', 'legal-defense fund', 'mr. trump', '’ s', 'own legal bills', 'recent months', 'mr. trump', '’ s', 'political action committee', 'legal bills', 'wide swath', 'trump-related', 'criminal investigations', 'witnesses —', 'mr. trump', 'white house —']","[('Donald J. Trump’s', 'PERSON'), ('two', 'CARDINAL'), ('the Patriot Legal Defense Fund Inc.', 'ORG'), ('Michael Glassner', 'PERSON'), ('Trump', 'ORG'), ('Trump', 'ORG'), ('the Trump Organization', 'ORG'), ('Trump', 'PERSON'), ('Lynne Patton', 'PERSON'), ('one', 'CARDINAL'), ('Trump', 'PERSON'), ('recent months', 'DATE'), ('Trump', 'PERSON'), ('$40 million', 'MONEY'), ('the first half of 2023', 'DATE'), ('Trump', 'ORG'), ('Trump', 'PERSON'), ('the White House', 'FAC')]",Politics
Minor Characters Emerge to Play Key Roles in Trump Documents Case,https://www.nytimes.com/2023/07/30/us/politics/trump-documents-de-oliveira-nauta.html,"Much of the story involves what prosecutors have said was a plot to move boxes of documents in and out of a storage room at Mar-a-Lago to avoid returning them to the government. Prosecutors say there was also a subsequent attempt to disguise those movements by seeking to delete footage from security cameras positioned outside the storage room.

According to the indictment, Mr. Nauta was central to the first part of the scheme, moving boxes from the room at least five times at Mr. Trump’s direction. All of that took place during a critical moment in the government’s investigation: the weeks between the issuance of a subpoena last year demanding the return of all classified documents in Mr. Trump’s possession and a visit to Mar-a-Lago shortly after by prosecutors seeking to collect the materials.

Mr. Nauta’s path to Mr. Trump and Mar-a-Lago was also characterized by a degree of turbulence.

A member of the Navy, Mr. Nauta had worked as a valet for Mr. Trump in the White House. But toward the end of his military career, Navy officials removed him from what is known as the Presidential Support Detail after learning he had fraternized with colleagues and subordinates in the White House mess, according to people with knowledge of the matter.

As naval officials were deciding what to do — including the possibility of sending Mr. Nauta back out to sea on a ship — an aide to Mr. Trump, who was already out of office, reached out to Mr. Nauta, offering him a job at Mar-a-Lago as the former president’s personal aide, according to a person familiar with the matter.

Mr. Nauta leaped at the opportunity, the person said, taking the job in July 2021 after receiving an honorable discharge from the Navy. It remains unclear whether Mr. Trump knew of Mr. Nauta’s troubles in the Navy at the end of his career.",0.014705882352941176,https://static01.nyt.com/images/2023/07/30/multimedia/30dc-investigate-chmf/30dc-investigate-chmf-facebookJumbo.jpg,2023,"['story involves', 'storage room', 'mar-a-lago', 'prosecutors', 'subsequent attempt', 'delete footage', 'security cameras', 'storage room', 'according', 'mr. nauta', 'mr. trump', '’ s direction', 'critical moment', 'government ’ s investigation', 'mr. trump', '’ s possession', 'mar-a-lago', 'mr. nauta', '’ s path', 'mr. trump', 'mar-a-lago', 'mr. nauta', 'mr. trump', 'white house', 'military career', 'navy officials', 'support detail', 'white house mess', 'naval officials', 'mr. nauta', 'ship —', 'mr. trump', 'mr. nauta', 'mar-a-lago', 'president ’ s', 'personal aide', 'mr. nauta', 'july', 'honorable discharge', 'mr. trump', 'mr. nauta', '’ s troubles']","[('Mar-a-Lago', 'FAC'), ('Nauta', 'PERSON'), ('first', 'ORDINAL'), ('at least five', 'CARDINAL'), ('Trump', 'PERSON'), ('the weeks', 'DATE'), ('last year', 'DATE'), ('Trump', 'PERSON'), ('Mar-a-Lago', 'PERSON'), ('Nauta', 'PERSON'), ('Trump', 'PERSON'), ('Mar-a-Lago', 'PERSON'), ('Navy', 'ORG'), ('Nauta', 'PERSON'), ('Trump', 'PERSON'), ('the White House', 'FAC'), ('Navy', 'ORG'), ('the Presidential Support Detail', 'ORG'), ('the White House', 'ORG'), ('Nauta', 'PERSON'), ('Trump', 'PERSON'), ('Nauta', 'PERSON'), ('Mar-a-Lago', 'FAC'), ('Nauta', 'PERSON'), ('July 2021', 'DATE'), ('Navy', 'ORG'), ('Trump', 'PERSON'), ('Nauta', 'PERSON'), ('Navy', 'ORG')]",Politics
Judge Dismisses Trump’s $475 Million Defamation Suit Against CNN,https://www.nytimes.com/2023/07/30/business/media/trump-cnn-lawsuit.html,"A federal judge has dismissed a $475 million defamation lawsuit that former President Donald J. Trump filed against CNN, ruling that all of the CNN statements that Mr. Trump cited were opinion and, therefore, Mr. Trump could not sue for defamation.

The suit, which the former president filed in October in U.S. District Court in Fort Lauderdale, Fla., alleged a “campaign of dissuasion in the form of libel and slander” that, Mr. Trump asserted, had escalated “as CNN fears the plaintiff will run for president in 2024.” The lawsuit said that the network’s use of the phrase “the big lie” in reference to Mr. Trump’s efforts to overturn the results of the 2020 presidential election was tantamount to comparing him to Adolf Hitler and Nazism.

Judge Raag Singhal, who was nominated to the District Court by Mr. Trump in 2019, stated in dismissing the suit late Friday night that CNN’s use of the phrase in connection with Mr. Trump’s election challenges “does not give rise to a plausible inference that Trump advocates the persecution and genocide of Jews or any other group of people.”

The judge added: “The Court finds Nazi references in the political discourse (made by whichever ‘side’) to be odious and repugnant. But bad rhetoric is not defamation when it does not include false statements of fact.”",-0.1125,https://static01.nyt.com/images/2023/07/30/multimedia/30trump-lawsuit-1-hwlm/30trump-lawsuit-1-hwlm-facebookJumbo.jpg,2023,"['federal judge', 'defamation lawsuit', 'donald j. trump', 'cnn', 'cnn', 'mr. trump', 'mr. trump', 'october', 'u.s.', 'district court', 'lauderdale', 'fla.', '“ campaign', 'slander ”', 'mr. trump', 'cnn', '2024. ”', 'network ’ s', 'phrase “', 'big lie ”', 'mr. trump', '’ s efforts', 'presidential election', 'adolf hitler', 'nazism', 'raag singhal', 'district court', 'mr. trump', 'cnn', '’ s', 'mr. trump', '’ s election', 'plausible inference', 'trump', 'jews', 'people. ”', 'nazi', 'political discourse', '‘ side ’', 'bad rhetoric', 'false statements']","[('$475 million', 'MONEY'), ('Donald J. Trump', 'PERSON'), ('CNN', 'ORG'), ('CNN', 'ORG'), ('Trump', 'PERSON'), ('Trump', 'PERSON'), ('October', 'DATE'), ('U.S.', 'GPE'), ('District Court', 'ORG'), ('Fort Lauderdale', 'GPE'), ('Fla.', 'GPE'), ('Trump', 'PERSON'), ('CNN', 'ORG'), ('2024', 'DATE'), ('Trump', 'PERSON'), ('2020', 'DATE'), ('Adolf Hitler', 'PERSON'), ('Nazism', 'NORP'), ('Raag Singhal', 'PERSON'), ('the District Court', 'ORG'), ('Trump', 'PERSON'), ('2019', 'DATE'), ('late Friday', 'DATE'), ('night', 'TIME'), ('CNN', 'ORG'), ('Trump', 'PERSON'), ('Trump', 'ORG'), ('Jews', 'NORP'), ('Nazi', 'NORP')]",Politics
Inside the Party Switch that Blew Up North Carolina Politics,https://www.nytimes.com/2023/07/30/us/inside-the-party-switch-that-blew-up-north-carolina-politics.html,"When Tricia Cotham, a former Democratic lawmaker, was considering another run for the North Carolina House of Representatives, she turned to a powerful party leader for advice. Then, when she jumped into the Democratic primary, she was encouraged by still other formidable allies.

She won the primary in a redrawn district near Charlotte, and then triumphed in the November general election by 18 percentage points, a victory that helped Democrats lock in enough seats to prevent, by a single vote, a Republican supermajority in the state House.

Except what was unusual — and not publicly known at the time — was that the influential people who had privately encouraged Ms. Cotham to run were Republicans, not Democrats. One was Tim Moore, the redoubtable Republican speaker of the state House. Another was John Bell, the Republican majority leader.

“I encouraged her to run because she was a really good member when she served before,” Mr. Bell recalled in an interview.",0.1823979591836735,https://static01.nyt.com/images/2023/07/27/multimedia/00nat-cotham-01-fjmq/00nat-cotham-01-fjmq-facebookJumbo.jpg,2023,"['tricia cotham', 'democratic lawmaker', 'carolina', 'powerful party leader', 'democratic primary', 'formidable allies', 'redrawn district', 'charlotte', 'november', 'general election', 'percentage points', 'republican', 'state house', 'unusual —', 'time —', 'influential people', 'ms. cotham', 'tim moore', 'republican', 'state house', 'john bell', 'republican', 'majority leader', 'good member', 'mr. bell']","[('Tricia Cotham', 'PERSON'), ('Democratic', 'NORP'), ('North Carolina', 'GPE'), ('House of Representatives', 'ORG'), ('Democratic', 'NORP'), ('Charlotte', 'GPE'), ('November', 'DATE'), ('18', 'CARDINAL'), ('Democrats', 'NORP'), ('Republican', 'NORP'), ('House', 'ORG'), ('Cotham', 'PERSON'), ('Republicans', 'NORP'), ('Democrats', 'NORP'), ('One', 'CARDINAL'), ('Tim Moore', 'PERSON'), ('Republican', 'NORP'), ('the state House', 'ORG'), ('John Bell', 'PERSON'), ('Republican', 'NORP'), ('Bell', 'PERSON')]",Politics
Trump Threatens Republicans Who Don’t Help Him Exact Vengeance,https://www.nytimes.com/2023/07/29/us/politics/trump-pennsylvania-rally.html,"Former President Donald J. Trump lashed out at Republicans in Congress while campaigning in Pennsylvania on Saturday, threatening members of his party who do not share his appetite for pursuing corruption investigations against President Biden and his family — and for retribution.

In a litany of grievances about his deepening legal woes and the direction of the country, the twice-indicted former president cast G.O.P. holdouts as meek during a rally in Erie, Pa., criticizing their response to what he described as politically motivated prosecutions against him.

“The Republicans are very high class,” he said. “You’ve got to get a little bit lower class.”

And then Mr. Trump, the overwhelming front-runner for the 2024 Republican presidential nomination, put party members on notice.

“Any Republican that doesn’t act on Democratic fraud should be immediately primaried,” said Mr. Trump, to the roaring approval of several thousand supporters at the Erie Insurance Arena. Throughout the night he referenced the case against Hunter Biden and accused the president of complicity in his son’s troubles.",0.0900625,https://static01.nyt.com/images/2023/07/29/multimedia/29pol-trump-pa-03-vzfk/29pol-trump-pa-03-vzfk-facebookJumbo.jpg,2023,"['donald j. trump', 'congress', 'pennsylvania', 'corruption investigations', 'biden', 'family —', 'legal woes', 'president cast', 'g.o.p', 'erie', 'pa.', 'high class', '’ ve', 'class. ”', 'mr. trump', 'republican', 'presidential nomination', 'party members', 'republican', 'doesn ’ t act', 'democratic fraud', 'mr. trump', 'erie', 'arena', 'throughout', 'hunter biden', 'son ’ s troubles']","[('Donald J. Trump', 'PERSON'), ('Republicans', 'NORP'), ('Congress', 'ORG'), ('Pennsylvania', 'GPE'), ('Saturday', 'DATE'), ('Biden', 'PERSON'), ('G.O.P.', 'ORG'), ('Erie', 'GPE'), ('Pa.', 'GPE'), ('Republicans', 'NORP'), ('Trump', 'PERSON'), ('2024', 'DATE'), ('Republican', 'NORP'), ('Republican', 'NORP'), ('Democratic', 'NORP'), ('Trump', 'PERSON'), ('several thousand', 'CARDINAL'), ('the Erie Insurance Arena', 'ORG'), ('the night', 'TIME'), ('Hunter Biden', 'PERSON')]",Politics
Biden Presses Ahead With Effort to Broker Israeli-Saudi Rapprochement,https://www.nytimes.com/2023/07/29/us/politics/biden-israel-saudi-arabia-negotiations.html,"Saudi demands for normalization with Israel have been expansive. Among other things, Saudi officials want a NATO-level alliance with the United States in which an attack on one is an attack on all, long a taboo among American policymakers who do not want to be committed to coming to the defense of a nondemocratic monarchy in case of war. And they want a civilian nuclear program despite longstanding opposition by Israel and the United States, which fear a nuclear arms race in the region.

Israeli officials who recently met with American counterparts were given the impression that while the first phase of the negotiations did not include any demand for significant Israeli concessions in their conflict with the Palestinians, it is now believed that a deal would require significant progress on the issue.

Israeli officials were told that King Salman, who has ceded much control to his son, Crown Prince Mohammed bin Salman, intervened in the negotiations to insist any deal include a clear Israeli move toward the Palestinians, according to an Israeli defense official who spoke on the condition of anonymity to discuss sensitive information.

The Saudis, according to the Israeli impression, would not be satisfied with a promise by Prime Minister Benjamin Netanyahu not to annex the West Bank, something that is not even envisioned by the current government. Instead, they would demand significant action on the ground.

It is highly doubtful whether significant concessions to the Palestinians would be approved by the current right-wing Israeli coalition, and an internal push for such a proposal could dissolve the government. Opposition leaders have vehemently refused to join any government led by Mr. Netanyahu, but questions have come up in discussions with Americans about whether the leaders might relent if it meant establishing diplomatic relations with the Saudis.",0.08875000000000001,https://static01.nyt.com/images/2023/07/29/multimedia/29dc-prexy-01-glzc/29dc-prexy-01-glzc-facebookJumbo.jpg,2023,"['saudi', 'israel', 'saudi', 'nato-level', 'american policymakers', 'nondemocratic monarchy', 'nuclear program', 'longstanding opposition', 'israel', 'nuclear arms race', 'israeli', 'american counterparts', 'israeli', 'palestinians', 'significant progress', 'israeli', 'salman', 'crown', 'mohammed', 'salman', 'israeli', 'palestinians', 'israeli', 'sensitive information', 'saudis', 'israeli', 'prime', 'benjamin netanyahu', 'current government', 'significant action', 'significant concessions', 'palestinians', 'israeli', 'mr. netanyahu', 'diplomatic relations', 'saudis']","[('Saudi', 'NORP'), ('Israel', 'GPE'), ('Saudi', 'NORP'), ('NATO', 'ORG'), ('the United States', 'GPE'), ('American', 'NORP'), ('Israel', 'GPE'), ('the United States', 'GPE'), ('Israeli', 'NORP'), ('American', 'NORP'), ('first', 'ORDINAL'), ('Israeli', 'NORP'), ('Palestinians', 'NORP'), ('Israeli', 'NORP'), ('King Salman', 'PERSON'), ('Crown Prince Mohammed bin Salman', 'PERSON'), ('Israeli', 'NORP'), ('Palestinians', 'NORP'), ('Israeli', 'NORP'), ('Saudis', 'NORP'), ('Israeli', 'NORP'), ('Benjamin Netanyahu', 'PERSON'), ('the West Bank', 'GPE'), ('Palestinians', 'NORP'), ('Israeli', 'NORP'), ('Netanyahu', 'PERSON'), ('Americans', 'NORP'), ('Saudis', 'NORP')]",Politics
